item_dec	item_id
高压开关柜,AC10kV,负荷开关熔断器柜,小车式,1250A,无开关,无	39
低压开关柜,AC380V,抽屉式,馈线,2000A,50kA	40
低压开关柜,AC380V,抽屉式,馈线,2500A,50kA	41
智能变电站辅助系统综合监控平台	42
高压开关柜,AC10kV,馈线开关柜,小车式,1250A,31.5kA,真空	43
环网柜,AC10kV,125A,负荷开关熔断器组合柜,SF6,无型号	44
光纤配线架(ODF),≤72芯	45
1kV电缆终端,4×95,户内终端,冷缩,铜	46
高压开关柜,AC20kV,分段断路器柜,小车式,630A,25kA,真空	47
高压开关柜,AC20kV,分段隔离柜,小车式,630A,25kA,真空	48
密集绝缘母线槽转接箱,钢制,400A,不含,单体式	49
环网柜,AC10kV,630A,负荷开关柜,SF6,无型号	50
环网柜,AC10kV,630A,电压互感器柜,SF6,无型号	51
电能计量箱,三相,4,金属	52
高压开关柜,AC10kV,分段隔离柜,小车式,1250A,无开关,无	53
高压开关柜,AC10kV,分段断路器柜,小车式,1250A,25kA,真空	54
环网柜,AC20kV,630A,电压互感器柜,SF6,无型号	55
环网柜,AC20kV,630A,负荷开关柜,SF6,无型号	56
1kV电缆终端,4×50,户内终端,冷缩,铜	57
10kV电缆终端,3×400,户内终端,冷缩,铜	58
低压开关柜,AC380V,抽屉式,进线,2000A,65kA	59
电能计量箱,单相,6,金属	60
电缆分支箱,AC400V,塑壳断路器,四路,400A	61
高压开关柜,AC10kV,分段断路器柜,小车式,1250A,31.5kA,真空	62
高压开关柜,AC10kV,分段隔离柜,小车式,1250A,31.5kA,真空	63
低压开关柜,AC380V,抽屉式,分段,2000A,65kA	64
全介质自承式光缆(ADSS),24芯,G.652,≥16.0kN	65
电能计量箱,三相,6,金属	66
电缆分支箱,AC400V,塑壳断路器,五路,400A	67
环网柜,AC20kV,125A,负荷开关熔断器组合柜,SF6,无型号	68
1kV电缆终端,4×35,户内终端,热缩,铜	69
1kV电缆终端,4×50,户内终端,热缩,铜	70
10kV电缆中间接头,3×400,直通接头,绕包,铜	71
1kV电缆终端,4×95,户内终端,热缩,铜	72
低压电力电缆,YJV,铜,95,4芯,ZC,22,普通	73
环网柜,AC10kV,630A,电压互感器柜,空气,户内	74
高压开关柜,AC20kV,馈线开关柜,小车式,630A,25kA,真空	75
线路保护,AC10kV	76
1kV电缆终端,4×150,户内终端,热缩,铜	77
环网柜,AC10kV,125A,负荷开关熔断器组合柜,空气,户内	78
环网柜,AC10kV,630A,负荷开关柜,空气,户内	79
电能计量箱,三相,2,金属	80
线路保护,AC20kV	81
高压开关柜,AC10kV,馈线开关柜,小车式,1250A,25kA,真空	82
电力电缆,AC10kV,YJV,70,3,22,ZC,无阻水	83
电力电缆,AC10kV,YJV,240,3,22,ZC,无阻水	84
1kV电缆终端,4×240,户内终端,热缩,铜	85
 电能计量箱,单相,9,金属	86
电力电缆,AC10kV,YJV,400,3,22,ZC,无阻水	87
1kV电缆终端,4×70,户内终端,热缩,铜	88
控制电缆,KVVP2,2.5,10,ZR,22	89
电缆保护管,N-HAP,φ100	90
电缆保护管,N-HAP,φ200	91
1kV电缆终端,4×150,户内终端,冷缩,铜	92
封闭绝缘母线,AC1kV,400A,四相	93
密集绝缘母线槽插接箱,160A,含(三极),带,带	94
密集绝缘母线槽弹簧支架,钢制,400A,卡箍夹紧,含槽钢	95
控制电缆,KVVP2,2.5,7,ZR,22	96
电力电缆,AC20kV,YJV,400,3,22,ZC,无阻水	97
电能计量箱,三相,1,金属	98
电力电缆,AC20kV,YJV,240,3,22,ZC,无阻水	99
电力电缆,AC20kV,YJV,70,3,22,ZC,无阻水	100
电能计量箱,单相,16,金属	101
1kV电缆终端,4×35,户内终端,冷缩,铜	102
1kV电缆终端,4×95,户外终端,冷缩,铜	103
低压电力电缆,YJV,铜,35,4芯,ZC,22,普通	104
控制电缆,KVVP2,2.5,7,ZRA,22	105
控制电缆,KVVP2,2.5,10,ZRA,22	106
钢绞线,1×7-9.0-1270-A,50,镀锌	107
高压熔断器,AC10kV,跌落式,100A	108
一二次融合成套柱上断路器,AC10kV,630A,20kA,户外	109
交流避雷器,AC10kV,17kV,硅橡胶,45kV,不带间隙	110
光缆悬垂串,70kN,OPGW用单线夹,非绝缘,14.2/15.5	111
110kV导线耐张通用,1ND21Y-0040-07P(H)	112
铁塔,AC110kV,通用,角钢,Q355(Q345),常规塔	113
低压电力电缆,YJY,铜,95/50,4+1芯,ZC,无铠装,WDZC	114
低压电力电缆,YJY,铜,50/25,4+1芯,ZC,无铠装,WDZC	115
低压电力电缆,YJY,铜,150/95,4+1芯,ZC,22,WDZC	116
1kV电缆终端,4+1×50/25,户内终端,热缩,铜	117
控制电缆,KVVP2,4,10,ZRA,22	118
控制电缆,KVVP2,4,4,ZRA,22	119
控制电缆,KVVP2,2.5,4,ZRA,22	120
电力电缆,AC10kV,YJV,150,3,22,ZC,无阻水	121
10kV电缆终端,3×120,户内终端,冷缩,铜	122
封闭绝缘母线,AC1kV,2000A,四相	123
低压电力电缆,VV,铜,4,2芯,ZC,22,普通	124
低压电力电缆,VV,铜,4,4芯,ZC,22,普通	125
控制电缆,KVVP2,2.5,4,ZR,22	126
密集绝缘母线槽始端箱,铜排,2500A,四相,上进线,单体式	127
1kV电缆终端,4+1×95/50,户内终端,热缩,铜	128
控制电缆,KVVP2,4,4,ZR,22	129
电力电缆,AC10kV,YJV,120,3,22,ZC,无阻水	130
钢绞线,1×19-11.5-1270-A,80,镀锌	131
拉线金具-锲型线夹,NX-2	132
拉线金具-钢线卡子,JK-2	133
拉线金具-锲型线夹,NX-1	134
拉线金具-UT型线夹,NUT-1	135
设备线夹-变压器线夹,M22	136
设备线夹-变压器线夹,M12	137
设备线夹-变压器线夹,M20	138
设备线夹-铜铝过渡设备线夹,SYG-240/30A	139
设备线夹-变压器线夹,M16	140
1kV电缆终端,4×35,户外终端,冷缩,铜	141
1kV电缆终端,4×16,户外终端,冷缩,铜	142
布电线,BV,铜,35,7	143
布电线,BV,铜,10,7	144
布电线,BV,铜,2.5,1	145
布电线,BV,铜,4,1	146
控制电缆,KVVP2,2.5,4,ZC,22	147
控制电缆,KVVP2,4,4,ZC,22	148
控制电缆,KVVP2,2.5,10,ZC,22	149
锥形水泥杆,非预应力,整根杆,15m,190mm,M	150
配电终端,配变终端(TTU)	151
接续金具-异型并沟线夹,JBL-50-240	152
接续金具-异型并沟线夹,JBL-16-120	153
接续金具-跳线线夹,JYT-240/30	154
接续金具-跳线线夹,JYT-150/20	155
联结金具-延长环,PH-10	156
联结金具-直角挂板,Z-7	157
接续金具-并沟线夹,JBB-1	158
联结金具-球头挂环,Q-7	159
10kV电缆终端,3×240,户外终端,冷缩,铜	160
锥形水泥杆,非预应力,整根杆,12m,190mm,M	161
10kV电缆终端,3×400,户外终端,冷缩,铜	162
耐张线夹-楔型绝缘,NXJ-1-70	163
耐张线夹-楔型绝缘,NXJ-1-120	164
柱上无功补偿成套装置,AC380V,45kvar,15kvar,自动	165
架空绝缘导线,AC1kV,JKYJ,16	166
架空绝缘导线,AC1kV,JKYJ,35	167
配电终端,馈线终端(FTU)	168
水泥制品,拉盘,400×800×200	169
配变低压保护开关箱,630A,下进上出,亚光不锈钢,带	170
蝶式绝缘子,ED-2	171
电缆接线端子,铜镀锡,35mm2,单孔	172
拉紧绝缘子,JH10-90	173
交流盘形悬式瓷绝缘子,U70B/146,255,320	174
配电箱,户外,4回路	175
交流盘形悬式瓷绝缘子,U40C/140,190,200	176
蝶式绝缘子,ED-1	177
架空绝缘导线,AC1kV,JKLYJ,70	178
耐张线夹-楔型绝缘,NXL-120/150	179
耐张线夹-楔型绝缘,NXL-185	180
接续金具-异型并沟线夹,JBTL-50-240	181
接续金具-并沟线夹,JBL-16-120B	182
联结金具-碗头挂板,WS-7	183
铁构件	184
10kV箱式变电站,630kVA,欧式,硅钢片,普通,有环网柜	185
接续金具-接地线夹,JDH-50-240	186
一二次融合成套环网箱,AC10kV,630A,SF6,二进四出	187
低压电力电缆,ERF,铜,300,1芯,ZC,无铠装,普通	188
设备线夹-压缩型设备线夹,SY-50A	189
10kV电缆终端,3×70,户外终端,冷缩,铜	190
接地短路故障指示器	191
复合材料管,PVC,DN32	192
架空绝缘导线,AC1kV,JKYJ,70	193
架空绝缘导线,AC1kV,JKYJ,120	194
架空绝缘导线,AC1kV,JKLYJ,120	195
低压电力电缆,YJV,铜,120,4芯,ZC,22,普通	196
设备线夹-变压器线夹,M18	197
联结金具-U型挂环,UL-16	198
拉线金具-钢线卡子,JK-1	199
联结金具-平行挂板,PS-7	200
设备线夹-压缩型设备线夹,SY-300/25B	201
拉线金具-UT型线夹,NUT-2	202
接续金具-异型并沟线夹,JBTL-16-120	203
1kV电缆终端,4×70,户外终端,冷缩,铜	204
1kV电缆终端,2×16,户外终端,冷缩,铜	205
1kV电缆终端,4×240,户外终端,冷缩,铜	206
1kV电缆终端,1×300,户内终端,冷缩,铜	207
1kV电缆终端,4×120,户外终端,冷缩,铜	208
线路柱式瓷绝缘子,R5ET105L,125,283,360	209
标识牌,纸	210
接续金具-异型并沟线夹,JBT-16-120	211
接续金具-异型并沟线夹,JBT-50-240	212
接续金具-异型并沟线夹,JBL-50-240B	213
耐张线夹-楔型绝缘,NXL-35/95	214
水泥制品,标志桩(砖),100×100×600	215
锥形水泥杆,非预应力,整根杆,10m,190mm,I	216
电缆保护管,MPP,φ100	217
电缆保护管,MPP,φ150	218
钢管杆（桩）,AC10kV,无,无,Q345,杆,无	219
1kV电缆终端,4×150,户外终端,冷缩,铜	220
1kV电缆终端,4×50,户外终端,冷缩,铜	221
环网柜,AC10kV,630A,站用变柜,SF6,户内	222
蓄电池组,DC12V,40Ah,阀控式密封	223
通信单元,本地,2级单相表,HPLC,无,OFDM	224
通信单元,本地,采集器II型,HPLC,无,OFDM	225
一二次融合成套柱上断路器,AC10kV,630A,20kA,用户分界	226
架空绝缘导线,AC10kV,JKLYJ,50	227
防火堵料	228
耐张线夹-楔型绝缘,NXJG-3	229
低压电力电缆,YJV,铜,16,4芯,ZC,无铠装,普通	230
耐张线夹-楔型绝缘,NXJG-2	231
接续金具-接地线夹,JDL-50-240	232
1kV电缆终端,4×16,户内终端,冷缩,铜	233
设备线夹-变压器线夹,M14	234
联结金具-延长环,PH-7	235
联结金具-U型挂环,U-10	236
联结金具-球头挂环,QP-7	237
复合材料管,PVC,DN50	238
联结金具-平行挂板,P-7	239
联结金具-碗头挂板,W-7B	240
架空绝缘导线,AC1kV,JKLYJ,16	241
架空绝缘导线,AC1kV,JKLYJ,35	242
胶板,绝缘胶板	243
设备线夹-铜铝过渡设备线夹,SYG-150/20A	244
T型线夹-T型线夹,TY-240/30	245
T型线夹-T型线夹,TY-150/20	246
防火板	247
防火涂料	248
架空绝缘导线,AC10kV,JKTRYJ,35	249
锥形水泥杆,非预应力,法兰组装杆,18m,230mm,N	250
电缆接线端子,铜镀锡,150mm2,双孔	251
电缆接线端子,铜镀锡,240mm2,双孔	252
电缆接线端子,铜镀锡,120mm2,单孔	253
电缆接线端子,铜镀锡,300mm2,双孔	254
接续金具-绝缘穿刺接地线夹,10kV,240mm2,240mm2	255
接续金具-绝缘穿刺接地线夹,10kV,240mm2,16mm2	256
耐张线夹-楔型绝缘,NXJ-150/10KV	257
电缆接线端子,铜镀锡,50mm2,单孔	258
水泥制品,拉盘,600×1200×200	259
水泥制品,底盘,600×600×200	260
接续金具-铝绞线接续管,JY-185LY	261
设备线夹-铜铝过渡设备线夹,SYG-50/8A	262
电缆接线端子,铜镀锡,400mm2,双孔	263
耐张线夹-楔型绝缘,NXJG-4	264
联结金具-平行挂板,PD-12	265
阻火包	266
交流避雷器,AC10kV,13kV,硅橡胶,40kV,带间隙	267
耐张线夹-楔型绝缘,NXJG-1	268
耐张线夹-楔型绝缘,NXL-4	269
耐张线夹-螺栓型,NLL-4	270
架空绝缘导线,AC20kV,JKLYJ,240	271
拉线金具-U型挂环,UL-25	272
电缆分支箱,AC10kV,不带开关,二路,630A	273
电缆分支箱,AC400V,塑壳断路器,五路,630A	274
10kV三相隔离开关,630A,20kA,手动双柱立开式,不接地	275
标识牌,铝合金	276
20kV电缆终端,3×400,户外终端,冷缩,铜	277
铜排,TMY,30×4	278
水泥制品,拉盘,500×1000×200	279
锥形水泥杆,部分预应力,法兰组装杆,15m,350mm,T	280
1kV电缆终端,4×120,户内终端,冷缩,铜	281
作业工作服,通用,均码	282
低压开关柜,AC380V,固定分隔式,进线,2500A,65kA	283
低压开关柜,AC380V,固定分隔式,馈线,2500A,65kA	284
一二次融合成套环网箱,AC10kV,630A,SF6,二进二出	285
10kV变压器,400kVA,普通,硅钢片,油浸	286
低压电力电缆,YJV,铜,150/95,4+1芯,ZC,无铠装,普通	287
低压开关柜,AC380V,抽屉式,馈线,2500A,65kA	288
低压开关,断路器,630A,三相	289
环网柜,AC10kV,630A,电缆连接柜,SF6,户内	290
10kV电缆终端,3×70,设备终端,预制,铜	291
环网柜,AC20kV,630A,断路器柜,SF6,户内	292
低压开关,断路器,400A,三相	293
低压开关柜,AC380V,固定分隔式,母联,2500A,65kA	294
10kV箱式变电站,400kVA,欧式,硅钢片,普通,有环网柜	295
低压电容器柜,AC380V,固定分隔式,240kvar	296
低压电容器柜,AC380V,固定分隔式,300kvar	297
10kV电缆终端,3×300,户外终端,冷缩,铜	298
10kV电缆终端,3×300,户内终端,冷缩,铜	299
小电阻接地成套装置,AC10kV,600A,10s,户内	300
接地电磁锁,AC220V,63kA/1s	301
20kV电缆终端,3×240,户外终端,冷缩,铜	302
电缆分支箱,AC20kV,不带开关,二路,630A	303
环网箱,AC20kV,2,2	304
20kV电缆终端,3×70,户外终端,冷缩,铜	305
环网箱,AC20kV,2,4	306
10kV变压器,1000kVA,普通,硅钢片,干式	307
终端服务器,16口	308
普通光缆,48芯,G.652,非金属阻燃光缆	309
低压电力电缆,YJV,铜,16,2芯,ZC,无铠装,普通	310
普通光缆,12芯,G.651,非金属阻燃光缆	311
低压电容器柜,AC380V,固定分隔式,360kvar	312
智能一体化电源系统,DC220V,80A	313
高压熔断器,AC20kV,跌落式,100A	314
工业泵,离心泵,潜水泵,20m以下,50m3/h以下,DN100	315
直流电源系统,DC110V,60A	316
20kV变压器,800kVA,普通,硅钢片,干式	317
T型线夹-T型线夹,TY-300/25	318
设备线夹-压缩型设备线夹,SY-300/25C	319
设备线夹-压缩型设备线夹,SY-300/25A	320
AC110(66)kV智能故障录波装置,无,64,96,128,256	321
智能一体化电源系统,DC220V,200A	322
智能变电站时间同步系统,AC330,220,110kV	323
控制箱	324
故障录波装置,AC110(66)kV,无,64,80,128,160	325
10kV电缆终端,3×150,户外终端,冷缩,铜	326
避雷器配件,监测器	327
10kV电缆终端,3×400,设备终端,预制,铜	328
调容变压器,AC10kV,400(125)kVA,有载,油浸,硅钢片	329
水泥制品,底盘,800×800×200	330
T型线夹-T型线夹,TY-185	331
铜排,TMY,60×6	332
电能计量箱,单相,12,不锈钢,60A,嵌入式	333
交流盘形悬式瓷绝缘子,U70C/146,255,320	334
耐张线夹-楔型绝缘,NXJ-1-185	335
低压开关,断路器,400A,四相	336
灭火器箱	337
10kV变压器,400kVA,普通,非晶合金,油浸	338
电能计量箱,单相,12,不锈钢,60A,悬挂式	339
20kV电缆终端,3×400,户内终端,冷缩,铜	340
锥形水泥杆,非预应力,整根杆,15m,230mm,N	341
低压开关,断路器,630A,四相	342
低压开关,断路器,200A,三相	343
布电线,BVR,铜,120,1	344
接续金具-跳线线夹,JYT-120/20	345
电能计量箱,三相,4,不锈钢,60A,落地式	346
安全帽,蓝	347
消防桶	348
消防铲	349
灭火器,干粉,推车式	350
安全帽,红	351
电能计量箱,三相,1,不锈钢,250A,悬挂式	352
低压开关,断路器,250A,四相	353
联结金具-碗头挂板,W-7A	354
水泥制品,卡盘,800×400	355
电能计量箱,三相,1,PC+ABS,100A,悬挂式	356
防鸟设备	357
固化剂	358
安全帽,黄	359
电能计量箱,单相,9,不锈钢,60A,落地式	360
绝缘套管,AC1kV,冷缩,电缆,φ30	361
电能计量箱,三相,2,不锈钢,200A,落地式	362
绝缘护罩,导线软质遮蔽罩	363
消防水枪	364
电能计量箱,三相,1,不锈钢,200A,悬挂式	365
接续金具-跳线线夹,JYT-185/25	366
耐张线夹-楔型绝缘,NXL-3	367
耐张线夹-楔型绝缘,NXJ-240	368
联结金具-U型挂环,U-7	369
绝缘套管,AC1kV,冷缩,电缆,φ25	370
交流避雷器,AC20kV,34kV,硅橡胶,95kV,不带间隙	371
电缆保护管,CPVC,φ150	372
交流棒形悬式复合绝缘子,FXBW-10/70,310,350	373
耐张线夹-楔型绝缘,NXL-185/240G	374
锥形水泥杆,部分预应力,法兰组装杆,12m,350mm,T	375
电缆保护管,BWFRP,φ200	376
低压开关,断路器,100A,三相	377
拉线保护套	378
防雷设备,线路过电压保护器	379
接续金具-绝缘穿刺接地线夹,1kV,120mm2,120mm2	380
电能计量箱,三相,1,PC+ABS,60A,悬挂式	381
联结金具-平行挂板,PD-7	382
设备线夹-铜铝过渡设备线夹,SYG-120/20A	383
耐张线夹-楔型绝缘,NXJ-10/240	384
联结金具-碗头挂板,W-7	385
胶板,阻燃胶板	386
拉线金具-U型挂环,UL-7	387
耐张线夹-楔型绝缘,NXJ-70/10KV	388
接续金具-异型并沟线夹,JBL-50/240	389
T型线夹-T型线夹,TY-120	390
电能计量箱,单相,1,PC+ABS,60A,悬挂式	391
联结金具-直角挂环,ZH-7	392
联结金具-平行挂板,P-10	393
低压开关,漏电保护器,100A,两相	394
标识牌,玻璃钢	395
标识牌,PVC	396
架空绝缘导线,AC1kV,JKLGYJ,185/25	397
消防柜	398
电缆接线端子,铜镀锡,70mm2,单孔	399
低压电力电缆,YJV,铜,4,2芯,ZC,22,普通	400
低压电力电缆,YJV,铜,10,2芯,ZC,22,普通	401
低压电力电缆,YJV,铜,6,2芯,ZC,22,普通	402
布电线,BV,铜,25,7	403
低压开关,断路器,63A,两相	404
20kV箱式变电站,630kVA,欧式,硅钢片,普通,有环网柜	405
10kV电缆终端,3×150,户内终端,冷缩,铜	406
10kV变压器,1250kVA,普通,硅钢片,干式	407
普通光缆,24芯,G.652,非金属阻燃光缆	408
接触金具-铜铝过渡板,MG-110×10	409
T型线夹-T型线夹,TL-400	410
电能计量箱,三相,2,不锈钢,250A,落地式	411
设备线夹-铜铝过渡设备线夹,SYG-400/35A	412
设备线夹-铜铝过渡设备线夹,SYG-400/35B	413
设备线夹-铜铝过渡设备线夹,SYG-300/25B	414
设备线夹-铜铝过渡设备线夹,SYG-300/25A	415
耐张线夹-液压型,NY-400/35.1	416
交流穿墙套管,AC20kV,瓷,4000A,无CT,铜	417
绝缘涂料,PRTV	418
移动式遮栏	419
低压电流互感器,500/5,0.2S,穿心绕组	420
接续金具-异型并沟线夹,JBTL-50/240	421
设备线夹-铜铝过渡设备线夹,SYG-240/30B	422
接触金具-铜铝过渡板,MG-60×6	423
T型线夹-双导线T型线夹,TYS-2×630/200	424
端子箱	425
拉线金具-U型挂环,UL-10	426
蓄电池组,DC12V,100Ah,阀控式密封	427
设备线夹-压缩型设备线夹,SY-240/30A	428
架空绝缘导线,AC1kV,JKLGYJ,120/20	429
红布幔	430
灭火器,二氧化碳,推车式	431
电缆桥架,钢,通用	432
T型线夹-T型线夹,TL-300	433
标识牌,不锈钢	434
蓄电池组,DC12V,24Ah,阀控式密封	435
低压开关,断路器,250A,三相	436
布电线,BV,铜,16,7	437
电能计量箱,单相,9,不锈钢,60A,悬挂式	438
T型线夹-双导线T型线夹,TYS-2×300/120	439
设备线夹-双导线设备线夹,SSYG-300/25A-200(a×b)	440
接续金具-并沟线夹,JBB-2	441
T型线夹-T型线夹,TY-400/35	442
设备线夹-压缩型设备线夹,SY-400/35C	443
井盖,复合材料,通用	444
灭火器,干粉,悬挂式	445
设备线夹-压缩型设备线夹,SY-630/55A	446
母线金具-软母线固定金具,MSG-6/200	447
RFID电子标签,无源	448
通信单元,本地,1级三相表,HPLC,无,OFDM	449
水带接口	450
电能计量箱,单相,12,不锈钢,60A,落地式	451
电能计量箱,三相,6,不锈钢,60A,落地式	452
接触金具-母线伸缩节,MST-125×12.5	453
母线金具-矩形母线固定金具,MWP-304	454
设备线夹-压缩型设备线夹,SY-400/35B	455
接续金具-并沟线夹,JB-3	456
联结金具-直角挂板,ZS-7	457
接续金具-并沟线夹,JB-1	458
悬垂线夹-回转型,XGU-2	459
接续金具-并沟线夹,JBL-3	460
低压开关,断路器,160A,三相	461
联结金具-U型挂环,UL-21	462
低压电力电缆,YJV,铜,70/35,4+1芯,ZC,无铠装,普通	463
安全带,单腰带、双背带加双腿带式	464
锥形水泥杆,非预应力,整根杆,12m,230mm,N	465
柱上断路器,AC20kV,630A,20kA,真空,无隔离闸刀,户外	466
柱上断路器,AC20kV,630A,20kA,真空,无隔离闸刀,用户分界	467
20kV单相隔离开关,630A,20kA,手动双柱立开式,不接地	468
通信单元,本地,集中器I型,HPLC,无,OFDM	469
T型线夹-T型线夹,TY-185/25	470
电能计量箱,单相,6,不锈钢,60A,悬挂式	471
电能计量箱,单相,4,不锈钢,60A,悬挂式	472
低压电力电缆,YJV,铜,240/120,4+1芯,ZC,无铠装,普通	473
低压电力电缆,YJV,铜,50/25,4+1芯,ZC,无铠装,普通	474
电能计量箱,三相,1,不锈钢,150A,悬挂式	475
低压电流互感器,100/5,0.2S,穿心绕组	476
T型线夹-T型线夹,TY-70	477
接续金具-跳线线夹,JYT-70/10	478
设备线夹-跨径接护线夹,JKG-2	479
接续金具-绝缘穿刺接地线夹,1kV,50mm2,240mm2	480
设备线夹-铜铝过渡设备线夹,SYG-150/20B	481
电缆接线端子,铜镀锡,95mm2,单孔	482
钢芯铝绞线,JL/G1A,630/55	483
铜排,TMY,125×10	484
接地电磁锁,AC220V,40kA/1s	485
软铜绞线,TJ,150	486
低压电力电缆,YJV,铜,16/10,3+1芯,ZC,22,普通	487
低压电力电缆,YJV,铜,25/16,4+1芯,ZC,22,普通	488
低压电力电缆,YJV,铜,120/70,4+1芯,ZC,无铠装,普通	489
复合横担绝缘子,FS-110/5,1270,2900	490
铜排,TMY,50×4	491
铜排,TMY,25×4	492
铜排,TMY,100×10	493
工业泵,离心泵,潜水泵,20m以下,50-200m3/h,DN100	494
预制光缆,12芯,G.651	495
水泥制品,底盘,1000×1000×200	496
电能计量箱,三相,4,不锈钢,60A,悬挂式	497
灭火器,二氧化碳,手提式	498
灭火器,干粉,手提式	499
标识牌,铝塑	500
电力电容器配件,电容器小单元	501
钢管杆（桩）,AC20kV,单杆,双回,Q345,整套杆桩,耐张杆	502
设备线夹-双导线设备线夹,SSY-630/55A-200(a×b)	503
蓄电池组,DC12V,200Ah,阀控式密封	504
低压开关,断路器,80A,两相	505
消防水带	506
故障录波装置,AC330,220kV,变压器,64,80,128,160	507
10kV变压器,200kVA,普通,硅钢片,油浸	508
智能终端,变压器本体	509
合并单元,常规互感器,无	510
设备线夹-铜铝过渡设备线夹,SYG-300/25C	511
普通光缆,24芯,G.651,非金属阻燃光缆	512
低压电力电缆,YJV,铜,185,1芯,ZC,无铠装,普通	513
低压电力电缆,YJV,铜,25/16,3+1芯,ZC,22,普通	514
电能表屏	515
AC330,220kV智能故障录波装置,线路,64,96,128,256	516
AC330,220kV智能故障录波装置,变压器,64,96,128,256	517
电能质量在线监测装置	518
智能变电站网络报文记录分析装置	519
交流电源系统,AC380V	520
带电显示器,110kV	521
绝缘垫,35kV,φ14	522
个人保安接地线	523
放电棒,28×260	524
故障录波装置,AC750,500kV,变压器,64,80,128,160	525
电能计量箱,三相,4,不锈钢,100A,落地式	526
母线金具-软母线固定金具,MDG-5	527
时间同步装置,AC110,66,35kV	528
设备线夹-压缩型设备线夹,SY-240/30B	529
故障录波装置,AC330,220kV,线路,64,80,128,160	530
智能一体化电源系统,DC220V,300A	531
近电报警器,手表式	532
绝缘鞋	533
警示带	534
验电器,AC10kV,GSY-10KV	535
立式围栏	536
安全工具柜,普通型	537
近电报警器,帽式	538
登杆器具,脚扣	539
绝缘手套,35kV	540
接地线（棒）,AC10kV	541
接地线（棒）,AC20kV	542
接地线（棒）,AC380V	543
绝缘隔板	544
安全工具柜,智能型	545
组合绝缘杆	546
交流穿墙套管,AC35kV,瓷,1250A,无CT,铜	547
线路保护,AC35,20,10kV	548
10kV电缆终端,3×150,设备终端,预制,铜	549
10kV电缆终端,3×240,设备终端,预制,铜	550
低压电力电缆,YJV,铜,185,4芯,ZC,22,普通	551
消防斧	552
20kV电缆终端,3×240,户内终端,冷缩,铜	553
小电阻接地成套装置,AC10kV,600A,10s,户外	554
故障录波装置,AC750,500kV,线路,64,80,128,160	555
接触金具-母线伸缩节,MST-125×10	556
UPS电源（不间断电源）,10kVA	557
普通光缆,36芯,G.652,非金属阻燃光缆	558
直流电源系统,DC220V,100A	559
直流电源系统,DC220V,40A	560
变压器配件,绕组温度计	561
变压器配件,变压器散热器	562
变压器配件,变压器胶囊	563
变电在线监测装置配件,传感器	564
软铜绞线,TJ,120	565
呼吸器,正压式空气	566
验电器,AC380V,YD-0.4	567
交流穿墙套管,AC35kV,瓷,2500A,无CT,铜	568
接触金具-母线伸缩节,MST-100×10	569
设备线夹-双导线设备线夹,SSYG-300/25A-120(a×b)	570
T型线夹-T型线夹,TL-240/240	571
设备线夹-双导线设备线夹,SSYG-300/25B-120(a×b)	572
母线金具-管型母线固定金具,KLMG-120/112	573
接触金具-母线伸缩节,MST-60×8	574
